"ResourceId","Address","Path","Guid","Role"
"4301","Stage2RustedClock","Assets/Textures/UI/Dystopia/Stage2RustedClock.png","2ab2087055f53fa4f8dd3eea7283e27f","new-address-for-existing-resource-id"
"4302","Stage3GunmetalClock","Assets/Textures/UI/Dystopia/Stage3GunmetalClock.png","6faf682dc42b41f4e8d93c2a345dc83d","new-address-for-existing-resource-id"
"4378","StoreStage2TopView","Assets/Prefabs/StoreStage/StoreStage2TopView.prefab","f2d765680e48fb54285e1b5a7da6e5e1","new-stage-top-view"
"4379","StoreStage3TopView","Assets/Prefabs/StoreStage/StoreStage3TopView.prefab","49813e555b5ca524eb7ee69f0f3b051e","new-stage-top-view"
"4380","Stage1FoodShelfVisual","Assets/Prefabs/StoreStage/Facilities/Stage1FoodShelfVisual.prefab","97b99af5521d0464982dba51af90fcb3","facility-stage-prefab"
"4381","Stage1MedicineCabinetVisual","Assets/Prefabs/StoreStage/Facilities/Stage1MedicineCabinetVisual.prefab","d557451ab764d2848a9aa702067d1b7f","facility-stage-prefab"
"4382","Stage2FoodShelfVisual","Assets/Prefabs/StoreStage/Facilities/Stage2FoodShelfVisual.prefab","2deca32039e9e1040ad4e1cc3d1412e4","facility-stage-prefab"
"4383","Stage2MedicineCabinetVisual","Assets/Prefabs/StoreStage/Facilities/Stage2MedicineCabinetVisual.prefab","2039bfd2cde9e6f419a316c48c2e0e8d","facility-stage-prefab"
"4384","Stage2ToolBenchVisual","Assets/Prefabs/StoreStage/Facilities/Stage2ToolBenchVisual.prefab","04f1309301b5064499ae25dedee84e26","facility-stage-prefab"
"4385","Stage2PowerCommunicationsVisual","Assets/Prefabs/StoreStage/Facilities/Stage2PowerCommunicationsVisual.prefab","1c1b82b215d452348a117a683839f5eb","facility-stage-prefab"
"4386","Stage3FoodShelfVisual","Assets/Prefabs/StoreStage/Facilities/Stage3FoodShelfVisual.prefab","ed134ec430a0b06459b03ba84b33ec3a","facility-stage-prefab"
"4387","Stage3MedicineCabinetVisual","Assets/Prefabs/StoreStage/Facilities/Stage3MedicineCabinetVisual.prefab","a7f601a12c49f3b45bfe4fd14e6ceda8","facility-stage-prefab"
"4388","Stage3ToolBenchVisual","Assets/Prefabs/StoreStage/Facilities/Stage3ToolBenchVisual.prefab","3968060febf784542adb1ec326f7c901","facility-stage-prefab"
"4389","Stage3PowerCommunicationsVisual","Assets/Prefabs/StoreStage/Facilities/Stage3PowerCommunicationsVisual.prefab","ca654b157b69eb446a16a79a0cf44985","facility-stage-prefab"
"4390","Stage3NuclearProtectionVisual","Assets/Prefabs/StoreStage/Facilities/Stage3NuclearProtectionVisual.prefab","c6997e23efad7d34285243aa5f548a79","facility-stage-prefab"
"4391","Stage3PrecisionElectronicsVisual","Assets/Prefabs/StoreStage/Facilities/Stage3PrecisionElectronicsVisual.prefab","e127d6c146ae35041bfe00f2e205a88d","facility-stage-prefab"
