source_path,copy_path,source_guid,copy_guid,source_sha256,copy_sha256,classification,archive_guid,collision_existing_path
Assets/DystopiaPrototype/Art/Bandage.png,Assets/Textures/Products/Dystopia/Bandage.png,639e71b4b11bdb74db301f75ec60b41d,7e9bd439e754f4e4da12609d421d8857,7567D975E0FCA11E34D2E21F75699BEDC21F92F6BA7E4592E4A77BC2C077128E,7567D975E0FCA11E34D2E21F75699BEDC21F92F6BA7E4592E4A77BC2C077128E,png,ff2c923cbd38d8f408f1263c99b8ea2b,Assets/Textures/Customer/Products/Bandage.png
Assets/DystopiaPrototype/Art/Battery.png,Assets/Textures/Products/Dystopia/Battery.png,c0db1038c48d3f546a297315f8366c0f,28616b2c53126ac4b8fcc9db974d02ce,6184E30824D604EA43301AB763CA1C508B9FE3A591860D44904ADB131E3A7DEC,6184E30824D604EA43301AB763CA1C508B9FE3A591860D44904ADB131E3A7DEC,png,a1890a0fe547b394496e7e56a7bc8f98,Assets/Textures/Customer/Products/Battery.png
Assets/DystopiaPrototype/Art/BoothBarricade.png,Assets/Textures/Environment/Dystopia/BoothBarricade.png,c10c73fc054ac19498fffbbacf16b031,d916c01ae8ae96f4c9880b8fbf8f1355,47B6427F7F83BABE7727FA45C7B058496BBACA333CE9287E25C9C3AFC4959F23,47B6427F7F83BABE7727FA45C7B058496BBACA333CE9287E25C9C3AFC4959F23,png,c10c73fc054ac19498fffbbacf16b031,
Assets/DystopiaPrototype/Art/BoothCanopy.png,Assets/Textures/Environment/Dystopia/BoothCanopy.png,6978fa40aee53b643836c083c2dd4d52,6cefb4e539cb2324e9254034f6bd5026,0478F893DE799DAB74877BDC322E6EFE88E4BE04755EA9C5AC956CF0FA6C67ED,0478F893DE799DAB74877BDC322E6EFE88E4BE04755EA9C5AC956CF0FA6C67ED,png,6978fa40aee53b643836c083c2dd4d52,
Assets/DystopiaPrototype/Art/BoothCounter.png,Assets/Textures/Environment/Dystopia/BoothCounter.png,dec0edb6a0a29eb4ba990f92dff08f2b,b9446b7f45e148f4bbb25db739d24199,A8193103015B9E7B9F2ECE58688F31FAEC0E520969753666226DECC7BA591570,A8193103015B9E7B9F2ECE58688F31FAEC0E520969753666226DECC7BA591570,png,dec0edb6a0a29eb4ba990f92dff08f2b,
Assets/DystopiaPrototype/Art/Can.png,Assets/Textures/Products/Dystopia/Can.png,cbddef825295f3e4aa88d54c2da63345,939e1d640a849aa44b7572f0e133adcd,352AAC4F386843199489BF5514D243E4E0AB4CA237053B561C40EC569E4757E5,352AAC4F386843199489BF5514D243E4E0AB4CA237053B561C40EC569E4757E5,png,0bd04b7017c4fa84094c818943317338,Assets/Textures/Customer/Products/Can.png
Assets/DystopiaPrototype/Art/ChimneySmoke0.png,Assets/Textures/Environment/Dystopia/ChimneySmoke0.png,8146c36afd06422a92ae965371323f2e,101295a734a8c44408a1e74abe889c7c,4B56DED125CD7065CD540ED9508035416D4EDF3F741964D0D55B0CA11930DA36,4B56DED125CD7065CD540ED9508035416D4EDF3F741964D0D55B0CA11930DA36,png,8146c36afd06422a92ae965371323f2e,
Assets/DystopiaPrototype/Art/ChimneySmoke1.png,Assets/Textures/Environment/Dystopia/ChimneySmoke1.png,a732901af7a142c68d5ff1e17b15dc79,f818ff01785f7b74cb7a7585f4b4898a,CE81DF521F4BE1EF515CEFAFBB7D537EC1402501CCEF65143B6DEECF8360E271,CE81DF521F4BE1EF515CEFAFBB7D537EC1402501CCEF65143B6DEECF8360E271,png,a732901af7a142c68d5ff1e17b15dc79,
Assets/DystopiaPrototype/Art/ChimneySmoke2.png,Assets/Textures/Environment/Dystopia/ChimneySmoke2.png,9ee90dc6331641169fb2748b57111bac,e086c811812ef89489bd07f51aab0d86,BDBE89665D1EA8057621C5D6444735B20A7802E0D98D790B35A47A8E84D458AE,BDBE89665D1EA8057621C5D6444735B20A7802E0D98D790B35A47A8E84D458AE,png,9ee90dc6331641169fb2748b57111bac,
Assets/DystopiaPrototype/Art/ChimneySmoke3.png,Assets/Textures/Environment/Dystopia/ChimneySmoke3.png,06504071d22a47b386d3a3a7053d2364,a80bb88cf0f33a84b84a5334481ffae6,63EF9FE636886E80FAA12230745461FC8936E97924F93B76DBC578AE356C4539,63EF9FE636886E80FAA12230745461FC8936E97924F93B76DBC578AE356C4539,png,06504071d22a47b386d3a3a7053d2364,
