old,new
Assets/Textures/Checkout/Background/FARBACKGROUND.png,Assets/Textures/art/Background/FARBACKGROUND.png
Assets/Textures/Checkout/Background/MidBackground.png,Assets/Textures/art/Background/MidBackground.png
Assets/Textures/Checkout/Background/LeftWatchTower.png,Assets/Textures/art/Background/LeftWatchTower.png
Assets/Textures/Checkout/Background/RightWatchTower.png,Assets/Textures/art/Background/RightWatchTower.png
Assets/Textures/Checkout/Shop/BoothBarricade.png,Assets/Textures/art/Background/BoothBarricade.png
Assets/Textures/Checkout/Effects/Dawn.png,Assets/Textures/art/Effects/TimeOfDay/Dawn.png
Assets/Textures/Checkout/Effects/Evening.png,Assets/Textures/art/Effects/TimeOfDay/Evening.png
Assets/Textures/Checkout/Effects/SunsetClouded.png,Assets/Textures/art/Effects/TimeOfDay/SunsetClouded.png
Assets/Textures/Checkout/Effects/CityLights.png,Assets/Textures/art/Effects/TimeOfDay/CityLights.png
Assets/Textures/Checkout/Effects/Searchlight.png,Assets/Textures/art/Effects/TimeOfDay/Searchlight.png
Assets/Textures/Checkout/Effects/CounterLight.png,Assets/Textures/art/Effects/TimeOfDay/CounterLight.png
Assets/Textures/Checkout/Effects/ChimneySmoke0.png,Assets/Textures/art/Effects/Smoke/ChimneySmoke0.png
Assets/Textures/Checkout/Effects/ChimneySmoke1.png,Assets/Textures/art/Effects/Smoke/ChimneySmoke1.png
Assets/Textures/Checkout/Effects/ChimneySmoke2.png,Assets/Textures/art/Effects/Smoke/ChimneySmoke2.png
Assets/Textures/Checkout/Effects/ChimneySmoke3.png,Assets/Textures/art/Effects/Smoke/ChimneySmoke3.png
Assets/Textures/Checkout/Effects/FogBack.png,Assets/Textures/art/Effects/Fog/FogBack.png
Assets/Textures/Checkout/Effects/FogMid.png,Assets/Textures/art/Effects/Fog/FogMid.png
Assets/Textures/Checkout/Effects/FogFront.png,Assets/Textures/art/Effects/Fog/FogFront.png
Assets/Textures/Checkout/Characters/CrowdBack.png,Assets/Textures/art/Characters/Crowd/CrowdBack.png
Assets/Textures/Checkout/Characters/CrowdMiddle.png,Assets/Textures/art/Characters/Crowd/CrowdMiddle.png
Assets/Textures/Checkout/Characters/CrowdFront.png,Assets/Textures/art/Characters/Crowd/CrowdFront.png
Assets/Textures/Checkout/Characters/WatchGuard.png,Assets/Textures/art/Characters/Guard/WatchGuard.png
Assets/Textures/Checkout/Characters/RearWatchGuard0.png,Assets/Textures/art/Characters/Guard/RearWatchGuard0.png
